lift_key,name,score_type,input_mode,equipment,primary_muscles,secondary_muscles,video_url,lift_info,needs_review,source_name
one_legged_lying_leg_curl,One-Legged Lying Leg Curl,multiplier,standard,machine,hamstrings,,,,,One-Legged Lying Leg Curl
one_legged_seated_leg_curl,One-Legged Seated Leg Curl,multiplier,standard,machine,hamstrings,,,,,One-Legged Seated Leg Curl
overhead_cable_triceps_extension,Overhead Cable Triceps Extension,multiplier,standard,cable machine,triceps,,,,,Overhead Cable Triceps Extension
overhead_press,Overhead Press,multiplier,standard,barbell,shoulders,,,,,Overhead Press
pause_deadlift,Pause Deadlift,multiplier,standard,barbell,legs,glutes,,,,Pause Deadlift
pause_squat,Pause Squat,multiplier,standard,barbell,legs,,,,,Pause Squat
pec_deck,Pec Deck,multiplier,standard,machine,chest,,,,,Pec Deck
pendlay_row,Pendlay Row,multiplier,standard,barbell,back,,,,,Pendlay Row
pistol_squat,Pistol Squat,bodyweight,standard,bodyweight,quads,glutes,,,,Pistol Squat
plate_front_raise,Plate Front Raise,multiplier,standard,plate,shoulders,,,,,Plate Front Raise
plate_pinch,Plate Pinch,multiplier,standard,plate,forearms,,,,,Plate Pinch
plate_wrist_curl,Plate Wrist Curl,multiplier,standard,plate,forearms,,,,,Plate Wrist Curl
plank,Plank,bodyweight,standard,bodyweight,abs,,,,,Plank
plank_to_push_up,Plank to Push-Up,bodyweight,standard,bodyweight,abs,chest,,,,Plank to Push-Up
plank_with_leg_lifts,Plank with Leg Lifts,bodyweight,standard,bodyweight,abs,,,,,Plank with Leg Lifts
plank_with_shoulder_taps,Plank with Shoulder Taps,bodyweight,standard,bodyweight,abs,,,,,Plank with Shoulder Taps
poliquin_raise,Poliquin Raise,multiplier,standard,dumbbell,shoulders,,,,,Poliquin Raise
poliquin_step_up,Poliquin Step-Up,multiplier,standard,plate,quads,,,,,Poliquin Step-Up
power_clean,Power Clean,multiplier,standard,barbell,legs,traps,,,,Power Clean
power_jerk,Power Jerk,multiplier,standard,machine,legs,shoulders,,,,Power Jerk
power_snatch,Power Snatch,multiplier,standard,barbell,shoulders,traps,,,,Power Snatch
prisoner_get_up,Prisoner Get Up,multiplier,standard,floor,quads,,,,,Prisoner Get Up
push_press,Push Press,multiplier,standard,barbell,shoulders,,,,,Push Press
push_up,Push-Up,bodyweight,standard,bodyweight,chest,triceps,,,,Push-Up
push_up_against_wall,Push-Up Against Wall,bodyweight,standard,bodyweight,chest,triceps,,,,Push-Up Against Wall
push_ups_with_feet_in_rings,Push-Ups With Feet in Rings,multiplier,standard,rings,chest,triceps,,,,Push-Ups With Feet in Rings
rack_pull,Rack Pull,multiplier,standard,machine,glutes,back,,,,Rack Pull
renegade_row,Renegade Row,multiplier,standard,barbell,back,abs,,,,Renegade Row
resistance_band_chest_fly,Resistance Band Chest Fly,multiplier,standard,band,chest,,,,,Resistance Band Chest Fly
resistance_band_curl,Resistance Band Curl,multiplier,standard,band,biceps,,,,,Resistance Band Curl
resistance_band_lateral_raise,Resistance Band Lateral Raise,multiplier,standard,band,shoulders,,,,,Resistance Band Lateral Raise
reverse_barbell_lunge,Reverse Barbell Lunge,multiplier,standard,barbell,quads,,,,,Reverse Barbell Lunge
reverse_cable_fly,Reverse Cable Flyes,multiplier,standard,cable machine,shoulders,traps,,,,Reverse Cable Flyes
reverse_dumbbell_fly,Reverse Dumbbell Flyes,multiplier,standard,dumbbell,shoulders,,,,,Reverse Dumbbell Flyes
reverse_hyperextension,Reverse Hyperextension,multiplier,standard,machine,glutes,,,,,Reverse Hyperextension
reverse_machine_fly,Reverse Machine Fly,multiplier,standard,machine,shoulders,,,,,Reverse Machine Fly
reverse_nordic,Reverse Nordic,multiplier,standard,floor,quads,,,,,Reverse Nordic
ring_dip,Ring Dip,bodyweight,standard,rings,chest,triceps,,,,Ring Dip
ring_pull_up,Ring Pull-Up,bodyweight,standard,rings,back,,,,,Ring Pull-Up
ring_row,Ring Row,bodyweight,standard,rings,back,traps,,,,Ring Row
romanian_deadlift,Romanian Deadlift,multiplier,standard,barbell,legs,glutes,,,,Romanian Deadlift
row_bent_over,Row Bent Over,multiplier,standard,barbell,back,,,,,Row Bent Over
scap_pull_up,Scap Pull-Up,bodyweight,standard,pull-up_bar,back,,,,,Scap Pull-Up
seal_row,Seal Row,multiplier,standard,barbell,back,,,,,Seal Row
seated_barbell_overhead_press,Seated Barbell Overhead Press,multiplier,standard,barbell,shoulders,,,,,Seated Barbell Overhead Press
seated_cable_chest_fly,Seated Cable Chest Fly,multiplier,standard,cable machine,chest,,,,,Seated Cable Chest Fly
seated_dumbbell_shoulder_press,Seated Dumbbell Shoulder Press,multiplier,standard,dumbbell,shoulders,,,,,Seated Dumbbell Shoulder Press
seated_leg_curl,Seated Leg Curl,multiplier,standard,machine,hamstrings,,,,,Seated Leg Curl
seated_machine_row,Seated Machine Row,multiplier,standard,machine,back,,,,,Seated Machine Row
seated_smith_machine_shoulder_press,Seated Smith Machine Shoulder Press,multiplier,standard,smith_machine,shoulders,,,,,Seated Smith Machine Shoulder Press
side_lunges_bodyweight,Side Lunges (Bodyweight),bodyweight,standard,bodyweight,legs,,,,,Side Lunges (Bodyweight)
side_plank,Side Plank,bodyweight,standard,bodyweight,abs,,,,,Side Plank
single_leg_deadlift_with_kettlebell,Single Leg Deadlift with Kettlebell,multiplier,standard,kettlebell,glutes,,,,,Single Leg Deadlift with Kettlebell
single_leg_romanian_deadlift,Single Leg Romanian Deadlift,multiplier,standard,barbell,glutes,,,,,Single Leg Romanian Deadlift
smith_machine_bench_press,Smith Machine Bench Press,multiplier,standard,smith_machine,chest,triceps,,,,Smith Machine Bench Press
smith_machine_bulgarian_split_squat,Smith Machine Bulgarian Split Squat,multiplier,standard,smith_machine,quads,,,,,Smith Machine Bulgarian Split Squat
